lead_id,created_at,raw_text,label
1,2025-11-01,"Hi, we want CRM integration and can start next month. Budget around $20k.",1
2,2025-10-28,"Looking for a lightweight helpdesk for our startup. Budget under $2k. Demo?",0
3,2025-10-15,"We need an enterprise solution for sales enablement. Ready to purchase in 2 weeks. Budget $50k+.",1
4,2025-09-30,"Can you share pricing for social media campaigns? We are small.",0
5,2025-10-22,"We have a tender for supply chain software. Need quote and timeline. Decision-maker here.",1
6,2025-09-20,"Interested in cloud migration services. Timeline 3-6 months. Need estimates.",0
7,2025-11-03,"We want to automate onboarding; can we integrate with our API? Budget $15k.",1
8,2025-10-05,"Looking for training for 20 employees. Share course curriculum and cost.",0
9,2025-11-02,"Requesting quotation for 200 units of industrial pump XRT-500.",0
10,2025-10-12,"Just exploring options for a website. Not urgent.",0
11,2025-09-18,"We need a demo of your CRM. Decision-maker will attend. Budget ~ $30k.",1
12,2025-08-25,"Can you tell me about integrations? We are evaluating vendors.",0
13,2025-07-11,"Looking for SSO + SCIM support. We have 500 employees. Budget $40k.",1
14,2025-06-30,"We need better ticket routing. Is your tool customizable?",0
15,2025-06-15,"Urgent: we had an outage. Need a solution ASAP. Can you send pricing?",1
16,2025-05-22,"What are your monthly prices? We are a small marketing team.",0
17,2025-05-03,"Interested in a pilot for 3 months with 50 seats. Budget approved.",1
18,2025-04-18,"Just browsing—send me more info when available.",0
19,2025-04-01,"We are switching vendors next quarter. Need migration plan and quote.",1
20,2025-03-20,"Can you integrate with HubSpot? We have moderate budget.",0
21,2025-03-05,"We need audit logs and compliance features. Budget $25k.",1
22,2025-02-28,"Looking for employee onboarding tool. What integrations do you offer?",0
23,2025-02-14,"Ready to buy if SLA and support meet enterprise standards. Budget flexible.",1
24,2025-01-30,"We want to test your chat widget for a month. Who can help set up?",0
25,2025-01-10,"We have a $60k budget for a new CRM and want a proposal next week.",1
26,2025-11-04,"Do you offer discounts for NGOs? We are nonprofit.",0
27,2025-10-29,"Can we get single-sign-on and analytics? Planning for Q1 rollout.",1
28,2025-10-20,"Curious about pricing tiers. No timeline yet.",0
29,2025-10-18,"We need lead scoring and routing at scale. Interested in a demo.",1
30,2025-09-27,"Small team, limited budget, looking for recommendations.",0
31,2025-09-10,"We require custom reports and dedicated onboarding. Budget approved.",1
32,2025-08-02,"Would like to see a sandbox. Possible pilot for 30 days.",0
33,2025-07-22,"Our company of 800 needs enterprise SSO and audit. Urgent procurement.",1
34,2025-06-05,"Are there annual contracts only? We prefer monthly.",0
35,2025-05-29,"We need integrations with Snowflake and BigQuery. Budget $35k.",1
36,2025-05-11,"Testing multiple vendors. Not ready for purchase.",0
37,2025-04-25,"We want an RFP response for onboarding automation. Please send details.",1
38,2025-04-10,"Exploring affordable CRM options for 5 users.",0
39,2025-03-01,"Security first—do you have SOC2? Budget set for Q2.",1
40,2025-02-12,"Looking for content calendar tool. Low priority.",0
41,2025-01-25,"We want to trial lead enrichment API for 60 days. Budget small.",0
42,2025-11-06,"We are consolidating tools; need pricing and migration for 200 users.",1
43,2025-10-30,"Need a procurement-ready quote, we have $45k budget.",1
44,2025-10-21,"Interested in employee feedback tool. Send demo link.",0
45,2025-10-10,"We plan to launch a pilot in 6 weeks and need vendor support.",1
46,2025-09-02,"Sending cold inquiry—no budget yet.",0
47,2025-08-18,"We want custom SLAs and onboarding. Decision-maker will review.",1
48,2025-07-30,"Can your tool integrate with our payroll? Unsure.",0
49,2025-07-14,"We need multi-tenant support for a SaaS rollout. Budget allocated.",1
50,2025-06-27,"We are evaluating your case studies. Might pilot later.",0
51,2025-06-09,"We need to replace our CRM in 30 days. Budget $80k available.",1
52,2025-05-23,"Would like pricing for 100 seats. No immediate buy.",0
53,2025-05-05,"Need migration and data import services. Decision on budget next week.",1
54,2025-04-16,"Looking for a free trial to test features. Low priority.",0
55,2025-03-28,"We need an enterprise contract and custom integrations. Ready to proceed.",1
56,2025-03-10,"Small project inquiry, maybe later this year.",0
57,2025-02-22,"We need analytics + user tracking. Budget confirmed.",1
58,2025-01-14,"Curious about help center features. Not an immediate need.",0
59,2025-11-07,"We can commit to an annual plan for $100k. Need proposal and SLA.",1
60,2025-10-31,"Looking for an EMR integration—this could be large. Time-sensitive.",1
61,2025-10-23,"Just researching vendors—no budget.",0
62,2025-10-11,"We need lead enrichment + scoring ASAP. Budget allocated.",1
63,2025-09-25,"Do you offer setup services? We'll discuss later.",0
64,2025-09-08,"Security audit needed. Interested if you provide SOC2 and encryption.",1
65,2025-08-04,"Possible integration with our product for a pilot. Not committed.",0
66,2025-07-28,"Can we schedule a demo next week? Decision-maker will join.",1
67,2025-07-09,"We want volume discounts for marketing suite. Low timeline.",0
68,2025-06-21,"We require API access and SSO. Budget set at $30k.",1
69,2025-06-03,"Exploring options for internal tooling. No purchase intent yet.",0
70,2025-05-18,"We are consolidating multiple tools; procurement next month.",1
71,2025-05-02,"Requesting pricing for beta program. Might evaluate.",0
72,2025-04-06,"We need enterprise features and SLAs. Budget approved.",1
73,2025-03-15,"Looking for recruitment software demos. Not urgent.",0
74,2025-02-05,"Testing providers for future purchase. No immediate buy.",0
75,2025-01-08,"Budget approved for new sales stack. Need vendor quotes.",1
76,2025-11-08,"We require GDPR-compliant data handling. Ready to move quickly.",1
77,2025-10-26,"Interested in user research features. Low budget.",0
78,2025-10-14,"We need a solution for enterprise single-tenant deployments. Budget $70k.",1
79,2025-09-19,"Can your product handle 10k monthly active users? We're evaluating.",0
80,2025-08-10,"We need campaign reporting. Will budget next quarter.",0
81,2025-07-01,"We need to replace our ticketing system. Pilot next month; budget available.",1
82,2025-06-12,"Looking for roadmap collaboration tools. Not high priority.",0
83,2025-05-27,"We want enterprise onboarding and integration. Decision-maker signing off.",1
84,2025-04-30,"Question about scalability. No timeline defined.",0
85,2025-04-12,"Ready to pilot with 50 users for 90 days. Budget allocated.",1
86,2025-03-02,"Interested in community portal features. Later this year.",0
87,2025-02-18,"We need multi-region support and SLA. Procurement in 2 weeks.",1
88,2025-01-20,"Casual inquiry—looking for free tier options.",0
89,2025-11-09,"We want to integrate with Salesforce and start immediately. Large budget.",1
90,2025-10-27,"Looking for vendor to handle compliance and monitoring. Budget unconfirmed.",0
91,2025-10-19,"We need a quote for 150 seats. Decision scheduled next week.",1
92,2025-09-11,"Just testing features for possible future use.",0
93,2025-08-14,"We need custom features for enterprise. Budget available.",1
94,2025-07-17,"We need payroll integration. Not urgent.",0
95,2025-06-01,"We are ready to schedule vendor calls this week. Budget confirmed.",1
96,2025-05-10,"Curious about integrations. No budget yet.",0
97,2025-04-22,"We need data residency options. Looking to purchase Q4.",1
98,2025-03-12,"Exploratory message—no timelines.",0
99,2025-02-02,"We want enterprise analytics and custom reporting. Decision-maker engaged.",1
100,2025-01-05,"Looking for pricing for internal tools. Maybe later.",0
101,2025-11-10,"We have board approval for a new CRM. Need proposal and timeline.",1
102,2025-10-25,"We need technical due diligence before committing. Can you provide docs?",0
103,2025-10-16,"We want to automate routing and scoring. Budget available for PoC.",1
104,2025-09-23,"Trial request for 10 seats. Not sure about budget.",0
105,2025-08-08,"We require enterprise SLAs and migration assistance. Ready to sign.",1
106,2025-07-24,"Just collecting information for planning. No commitment.",0
107,2025-06-18,"Urgent RFP—can you respond with pricing and timeline?",1
108,2025-05-28,"Interested in self-service options. Low priority.",0
109,2025-05-08,"We need to onboard 300 users by next quarter. Budget allocated.",1
110,2025-04-02,"Would like to see integrations list. Possibly later.",0
111,2025-03-20,"We plan a vendor decision in 2 weeks and need demos.",1
112,2025-02-11,"Curious about your API. No purchase planned.",0
113,2025-01-27,"We need enterprise-grade support and replication. Budget confirmed.",1
